dataset: visdrone
root_dir: /home/twsf/data/Visdrone/density_mask
test_dir: 
input_size: (640, 480)
mean: [0.382, 0.383, 0.367]
std: [0.164, 0.156, 0.164]
num_classes: 5
resume: False
pre: /home/twsf/work/CRGNet/run/visdrone/20200227_235050_train/model_best.pth.tar
backbone: mobilenetv2
output_stride: 16
output_channels: 5
sync_bn: False
batch_size: 32
epochs: 200
freeze_bn: False
loss: {'type': 'CrossEntropyLoss', 'ignore_index': -1, 'weight': None}
use_balanced_weights: True
lr_scheduler: poly
lr: 0.0005
momentum: 0.9
decay: 0.0005
steps: [0.8, 0.9]
gamma: 0.3
workers: 1
region_thd: 0.5
print_freq: 50
plot_every: 100
saver_freq: 1
seed: 1
Epoch: [13][111/203] lr: (1x:0.00050, eta: 21:29:38, time: 98.3, Loss: 0.9494 
Epoch: [13][161/203] lr: (1x:0.00050, eta: 21:28:15, time: 98.5, Loss: 0.9477 
Epoch: [14][8/203] lr: (1x:0.00050, eta: 21:25:45, time: 97.8, Loss: 0.9457 
Epoch: [14][58/203] lr: (1x:0.00050, eta: 21:24:18, time: 98.7, Loss: 0.9435 
Epoch: [14][108/203] lr: (1x:0.00050, eta: 21:23:28, time: 98.8, Loss: 0.9416 
Epoch: [14][158/203] lr: (1x:0.00050, eta: 21:21:06, time: 98.1, Loss: 0.9398 
Epoch: [15][5/203] lr: (1x:0.00050, eta: 21:18:07, time: 97.8, Loss: 0.9382 
Epoch: [15][55/203] lr: (1x:0.00050, eta: 21:17:09, time: 98.5, Loss: 0.9369 
Epoch: [15][105/203] lr: (1x:0.00050, eta: 21:15:45, time: 98.3, Loss: 0.9348 
Epoch: [15][155/203] lr: (1x:0.00050, eta: 21:13:20, time: 98.2, Loss: 0.9331 
Epoch: [16][2/203] lr: (1x:0.00050, eta: 21:12:05, time: 98.7, Loss: 0.9326 
Epoch: [16][52/203] lr: (1x:0.00050, eta: 21:10:48, time: 98.8, Loss: 0.9317 
Epoch: [16][102/203] lr: (1x:0.00050, eta: 21:10:16, time: 98.7, Loss: 0.9300 
Epoch: [16][152/203] lr: (1x:0.00050, eta: 21:07:41, time: 98.0, Loss: 0.9282 
Epoch: [16][202/203] lr: (1x:0.00050, eta: 21:04:55, time: 97.9, Loss: 0.9267 
Epoch: [17][49/203] lr: (1x:0.00050, eta: 21:02:14, time: 97.4, Loss: 0.9265 
Epoch: [17][99/203] lr: (1x:0.00050, eta: 21:01:25, time: 98.5, Loss: 0.9252 
Epoch: [17][149/203] lr: (1x:0.00050, eta: 20:59:22, time: 98.2, Loss: 0.9240 
Epoch: [17][199/203] lr: (1x:0.00050, eta: 20:57:26, time: 98.1, Loss: 0.9226 
Epoch: [18][46/203] lr: (1x:0.00050, eta: 20:55:37, time: 98.2, Loss: 0.9209 
Epoch: [18][96/203] lr: (1x:0.00050, eta: 20:54:08, time: 98.8, Loss: 0.9194 
Epoch: [18][146/203] lr: (1x:0.00050, eta: 20:51:31, time: 98.0, Loss: 0.9183 
Epoch: [18][196/203] lr: (1x:0.00050, eta: 20:49:50, time: 98.7, Loss: 0.9173 
Epoch: [19][43/203] lr: (1x:0.00050, eta: 20:46:37, time: 97.1, Loss: 0.9159 
Epoch: [19][93/203] lr: (1x:0.00050, eta: 20:45:44, time: 98.5, Loss: 0.9153 
Epoch: [19][143/203] lr: (1x:0.00050, eta: 20:45:09, time: 98.3, Loss: 0.9145 
Epoch: [19][193/203] lr: (1x:0.00050, eta: 20:43:26, time: 98.4, Loss: 0.9136 
Epoch: [20][40/203] lr: (1x:0.00050, eta: 20:41:10, time: 97.8, Loss: 0.9131 
Epoch: [20][90/203] lr: (1x:0.00050, eta: 20:40:25, time: 98.8, Loss: 0.9131 
Epoch: [20][140/203] lr: (1x:0.00050, eta: 20:39:17, time: 98.6, Loss: 0.9123 
Epoch: [20][190/203] lr: (1x:0.00050, eta: 20:37:53, time: 99.0, Loss: 0.9109 
Epoch: [21][37/203] lr: (1x:0.00050, eta: 20:36:01, time: 98.1, Loss: 0.9096 
Epoch: [21][87/203] lr: (1x:0.00050, eta: 20:33:29, time: 97.9, Loss: 0.9081 
Epoch: [21][137/203] lr: (1x:0.00050, eta: 20:33:32, time: 98.5, Loss: 0.9078 
Epoch: [21][187/203] lr: (1x:0.00050, eta: 20:32:35, time: 99.1, Loss: 0.9068 
Epoch: [22][34/203] lr: (1x:0.00050, eta: 20:29:24, time: 97.3, Loss: 0.9050 
Epoch: [22][84/203] lr: (1x:0.00050, eta: 20:28:22, time: 98.9, Loss: 0.9045 
Epoch: [22][134/203] lr: (1x:0.00050, eta: 20:27:06, time: 98.1, Loss: 0.9023 
Epoch: [22][184/203] lr: (1x:0.00050, eta: 20:24:46, time: 98.2, Loss: 0.9011 
Epoch: [23][31/203] lr: (1x:0.00050, eta: 20:22:50, time: 98.0, Loss: 0.9001 
Epoch: [23][81/203] lr: (1x:0.00050, eta: 20:21:12, time: 99.0, Loss: 0.8996 
Epoch: [23][131/203] lr: (1x:0.00050, eta: 20:19:35, time: 98.2, Loss: 0.8989 
Epoch: [23][181/203] lr: (1x:0.00050, eta: 20:18:44, time: 98.6, Loss: 0.8987 
Epoch: [24][28/203] lr: (1x:0.00050, eta: 20:14:45, time: 97.6, Loss: 0.8979 
Epoch: [24][78/203] lr: (1x:0.00050, eta: 20:12:38, time: 98.7, Loss: 0.8966 
Epoch: [24][128/203] lr: (1x:0.00050, eta: 20:12:44, time: 98.8, Loss: 0.8948 
Epoch: [24][178/203] lr: (1x:0.00050, eta: 20:10:31, time: 98.4, Loss: 0.8941 
Epoch: [25][25/203] lr: (1x:0.00050, eta: 20:09:26, time: 98.3, Loss: 0.8943 
Epoch: [25][75/203] lr: (1x:0.00050, eta: 20:08:49, time: 99.1, Loss: 0.8941 
Epoch: [25][125/203] lr: (1x:0.00050, eta: 20:07:45, time: 98.4, Loss: 0.8934 
Epoch: [25][175/203] lr: (1x:0.00050, eta: 20:06:08, time: 99.0, Loss: 0.8920 
Epoch: [26][22/203] lr: (1x:0.00050, eta: 20:03:38, time: 97.7, Loss: 0.8906 
