Val[Epoch: [0], mean_loss: 1.3334, mIoU: 0.5670, Acc: 0.7456, Acc_class: 0.7815, fwIoU: 0.6209, RRecall: 0.9778, RNum: 11.6]
Val[Epoch: [1], mean_loss: 1.2029, mIoU: 0.6247, Acc: 0.7930, Acc_class: 0.8185, fwIoU: 0.6794, RRecall: 0.9812, RNum: 5.9]
Val[Epoch: [2], mean_loss: 1.1407, mIoU: 0.6424, Acc: 0.8058, Acc_class: 0.8324, fwIoU: 0.6958, RRecall: 0.9852, RNum: 4.6]
Val[Epoch: [3], mean_loss: 1.1027, mIoU: 0.6549, Acc: 0.8146, Acc_class: 0.8420, fwIoU: 0.7072, RRecall: 0.9881, RNum: 4.2]
Val[Epoch: [4], mean_loss: 1.0728, mIoU: 0.6690, Acc: 0.8251, Acc_class: 0.8491, fwIoU: 0.7211, RRecall: 0.9883, RNum: 4.1]
Val[Epoch: [5], mean_loss: 1.0509, mIoU: 0.6879, Acc: 0.8396, Acc_class: 0.8556, fwIoU: 0.7402, RRecall: 0.9868, RNum: 3.9]
Val[Epoch: [6], mean_loss: 1.0331, mIoU: 0.6891, Acc: 0.8395, Acc_class: 0.8601, fwIoU: 0.7403, RRecall: 0.9888, RNum: 3.9]
Val[Epoch: [7], mean_loss: 1.0168, mIoU: 0.7018, Acc: 0.8488, Acc_class: 0.8644, fwIoU: 0.7528, RRecall: 0.9882, RNum: 3.9]
Val[Epoch: [8], mean_loss: 1.0070, mIoU: 0.7140, Acc: 0.8577, Acc_class: 0.8680, fwIoU: 0.7649, RRecall: 0.9868, RNum: 4.0]
Val[Epoch: [9], mean_loss: 0.9942, mIoU: 0.7063, Acc: 0.8509, Acc_class: 0.8705, fwIoU: 0.7560, RRecall: 0.9909, RNum: 4.2]
Val[Epoch: [10], mean_loss: 0.9901, mIoU: 0.7134, Acc: 0.8559, Acc_class: 0.8734, fwIoU: 0.7629, RRecall: 0.9912, RNum: 4.3]
Val[Epoch: [11], mean_loss: 0.9816, mIoU: 0.7043, Acc: 0.8485, Acc_class: 0.8738, fwIoU: 0.7529, RRecall: 0.9935, RNum: 4.4]
Val[Epoch: [12], mean_loss: 0.9703, mIoU: 0.7217, Acc: 0.8614, Acc_class: 0.8776, fwIoU: 0.7705, RRecall: 0.9905, RNum: 4.4]
Val[Epoch: [13], mean_loss: 0.9660, mIoU: 0.7239, Acc: 0.8627, Acc_class: 0.8789, fwIoU: 0.7725, RRecall: 0.9913, RNum: 4.4]
Val[Epoch: [14], mean_loss: 0.9606, mIoU: 0.7246, Acc: 0.8630, Acc_class: 0.8801, fwIoU: 0.7729, RRecall: 0.9917, RNum: 4.4]
Val[Epoch: [15], mean_loss: 0.9583, mIoU: 0.7334, Acc: 0.8694, Acc_class: 0.8811, fwIoU: 0.7817, RRecall: 0.9887, RNum: 4.5]
Val[Epoch: [16], mean_loss: 0.9519, mIoU: 0.7304, Acc: 0.8669, Acc_class: 0.8827, fwIoU: 0.7783, RRecall: 0.9916, RNum: 4.6]
Val[Epoch: [17], mean_loss: 0.9467, mIoU: 0.7319, Acc: 0.8677, Acc_class: 0.8838, fwIoU: 0.7796, RRecall: 0.9915, RNum: 4.5]
Val[Epoch: [18], mean_loss: 0.9421, mIoU: 0.7279, Acc: 0.8647, Acc_class: 0.8841, fwIoU: 0.7754, RRecall: 0.9925, RNum: 4.5]
Val[Epoch: [19], mean_loss: 0.9397, mIoU: 0.7290, Acc: 0.8653, Acc_class: 0.8849, fwIoU: 0.7763, RRecall: 0.9927, RNum: 4.5]
