Val[Epoch: [0], mean_loss: 1.2174, mIoU: 0.6361, Acc: 0.7949, Acc_class: 0.8204, fwIoU: 0.6770, RRecall: 0.9898, RNum: 6.2]
Val[Epoch: [1], mean_loss: 1.1352, mIoU: 0.6625, Acc: 0.8145, Acc_class: 0.8371, fwIoU: 0.7028, RRecall: 0.9900, RNum: 4.8]
Val[Epoch: [2], mean_loss: 1.0874, mIoU: 0.6867, Acc: 0.8326, Acc_class: 0.8486, fwIoU: 0.7271, RRecall: 0.9890, RNum: 4.3]
Val[Epoch: [3], mean_loss: 1.0531, mIoU: 0.6914, Acc: 0.8348, Acc_class: 0.8557, fwIoU: 0.7303, RRecall: 0.9926, RNum: 4.2]
Val[Epoch: [4], mean_loss: 1.0302, mIoU: 0.7051, Acc: 0.8447, Acc_class: 0.8619, fwIoU: 0.7439, RRecall: 0.9921, RNum: 4.2]
Val[Epoch: [5], mean_loss: 1.0131, mIoU: 0.7064, Acc: 0.8448, Acc_class: 0.8655, fwIoU: 0.7443, RRecall: 0.9939, RNum: 4.2]
Val[Epoch: [6], mean_loss: 1.0028, mIoU: 0.7224, Acc: 0.8566, Acc_class: 0.8699, fwIoU: 0.7606, RRecall: 0.9918, RNum: 4.1]
Val[Epoch: [7], mean_loss: 0.9909, mIoU: 0.7245, Acc: 0.8577, Acc_class: 0.8723, fwIoU: 0.7623, RRecall: 0.9928, RNum: 4.2]
Val[Epoch: [8], mean_loss: 0.9822, mIoU: 0.7223, Acc: 0.8556, Acc_class: 0.8740, fwIoU: 0.7594, RRecall: 0.9942, RNum: 4.2]
Val[Epoch: [9], mean_loss: 0.9763, mIoU: 0.7374, Acc: 0.8666, Acc_class: 0.8773, fwIoU: 0.7748, RRecall: 0.9925, RNum: 4.3]
Val[Epoch: [10], mean_loss: 0.9668, mIoU: 0.7376, Acc: 0.8663, Acc_class: 0.8791, fwIoU: 0.7746, RRecall: 0.9928, RNum: 4.3]
Val[Epoch: [11], mean_loss: 0.9603, mIoU: 0.7351, Acc: 0.8642, Acc_class: 0.8799, fwIoU: 0.7717, RRecall: 0.9937, RNum: 4.3]
Val[Epoch: [12], mean_loss: 0.9590, mIoU: 0.7432, Acc: 0.8700, Acc_class: 0.8816, fwIoU: 0.7799, RRecall: 0.9926, RNum: 4.3]
Val[Epoch: [13], mean_loss: 0.9530, mIoU: 0.7441, Acc: 0.8703, Acc_class: 0.8832, fwIoU: 0.7804, RRecall: 0.9931, RNum: 4.3]
Val[Epoch: [14], mean_loss: 0.9488, mIoU: 0.7407, Acc: 0.8677, Acc_class: 0.8833, fwIoU: 0.7768, RRecall: 0.9938, RNum: 4.3]
Val[Epoch: [15], mean_loss: 0.9455, mIoU: 0.7482, Acc: 0.8729, Acc_class: 0.8851, fwIoU: 0.7842, RRecall: 0.9930, RNum: 4.3]
Val[Epoch: [16], mean_loss: 0.9411, mIoU: 0.7513, Acc: 0.8750, Acc_class: 0.8861, fwIoU: 0.7872, RRecall: 0.9923, RNum: 4.3]
Val[Epoch: [17], mean_loss: 0.9371, mIoU: 0.7512, Acc: 0.8748, Acc_class: 0.8869, fwIoU: 0.7870, RRecall: 0.9929, RNum: 4.2]
Val[Epoch: [18], mean_loss: 0.9362, mIoU: 0.7553, Acc: 0.8776, Acc_class: 0.8882, fwIoU: 0.7910, RRecall: 0.9925, RNum: 4.2]
Val[Epoch: [19], mean_loss: 0.9332, mIoU: 0.7452, Acc: 0.8703, Acc_class: 0.8872, fwIoU: 0.7807, RRecall: 0.9941, RNum: 4.2]
Val[Epoch: [20], mean_loss: 0.9303, mIoU: 0.7456, Acc: 0.8705, Acc_class: 0.8878, fwIoU: 0.7810, RRecall: 0.9945, RNum: 4.3]
