dataset: visdrone
root_dir: /home/twsf/data/Visdrone/density_mask
test_dir: 
input_size: (640, 480)
mean: [0.382, 0.383, 0.367]
std: [0.164, 0.156, 0.164]
num_classes: 5
resume: False
pre: /home/twsf/work/CRGNet/run/visdrone/20200227_235050_train/model_best.pth.tar
backbone: mobilenetv2
output_stride: 16
output_channels: 5
sync_bn: False
batch_size: 32
epochs: 200
freeze_bn: False
loss: {'type': 'CrossEntropyLoss', 'ignore_index': -1, 'weight': None}
use_balanced_weights: True
lr_scheduler: poly
lr: 0.0005
momentum: 0.9
decay: 0.0005
steps: [0.8, 0.9]
gamma: 0.3
workers: 1
region_thd: 0.5
print_freq: 50
plot_every: 100
saver_freq: 1
seed: 1
Epoch: [0][50/203] lr: (1x:0.00050, eta: 28:26:50, time: 99.6, Loss: 1.6672 
Epoch: [0][100/203] lr: (1x:0.00050, eta: 28:14:27, time: 98.1, Loss: 1.5281 
Epoch: [0][150/203] lr: (1x:0.00050, eta: 28:10:16, time: 98.3, Loss: 1.4534 
Epoch: [0][200/203] lr: (1x:0.00050, eta: 28:04:44, time: 97.5, Loss: 1.4024 
Epoch: [1][47/203] lr: (1x:0.00050, eta: 22:53:40, time: 97.9, Loss: 1.3635 
Epoch: [1][97/203] lr: (1x:0.00050, eta: 22:53:36, time: 99.0, Loss: 1.3341 
Epoch: [1][147/203] lr: (1x:0.00050, eta: 22:53:12, time: 99.0, Loss: 1.3107 
Epoch: [1][197/203] lr: (1x:0.00050, eta: 22:50:56, time: 98.1, Loss: 1.2913 
Epoch: [2][44/203] lr: (1x:0.00050, eta: 22:47:26, time: 97.8, Loss: 1.2730 
Epoch: [2][94/203] lr: (1x:0.00050, eta: 22:45:57, time: 98.5, Loss: 1.2587 
Epoch: [2][144/203] lr: (1x:0.00050, eta: 22:42:29, time: 98.3, Loss: 1.2035 
Epoch: [2][194/203] lr: (1x:0.00050, eta: 22:40:45, time: 98.0, Loss: 1.1740 
Epoch: [3][41/203] lr: (1x:0.00050, eta: 22:37:53, time: 97.6, Loss: 1.1511 
Epoch: [3][91/203] lr: (1x:0.00050, eta: 22:36:41, time: 97.8, Loss: 1.1353 
Epoch: [3][141/203] lr: (1x:0.00050, eta: 22:36:14, time: 98.8, Loss: 1.1217 
Epoch: [3][191/203] lr: (1x:0.00050, eta: 22:32:57, time: 97.7, Loss: 1.1100 
Epoch: [4][38/203] lr: (1x:0.00050, eta: 22:32:33, time: 97.9, Loss: 1.0993 
Epoch: [4][88/203] lr: (1x:0.00050, eta: 22:31:09, time: 98.3, Loss: 1.0892 
Epoch: [4][138/203] lr: (1x:0.00050, eta: 22:31:18, time: 99.1, Loss: 1.0811 
Epoch: [4][188/203] lr: (1x:0.00050, eta: 22:28:50, time: 97.9, Loss: 1.0720 
Epoch: [5][35/203] lr: (1x:0.00050, eta: 22:24:17, time: 98.1, Loss: 1.0649 
Epoch: [5][85/203] lr: (1x:0.00050, eta: 22:23:37, time: 98.7, Loss: 1.0590 
Epoch: [5][135/203] lr: (1x:0.00050, eta: 22:22:50, time: 98.2, Loss: 1.0537 
Epoch: [5][185/203] lr: (1x:0.00050, eta: 22:22:39, time: 98.9, Loss: 1.0466 
Epoch: [6][32/203] lr: (1x:0.00050, eta: 22:19:12, time: 98.0, Loss: 1.0416 
Epoch: [6][82/203] lr: (1x:0.00050, eta: 22:18:26, time: 98.4, Loss: 1.0355 
Epoch: [6][132/203] lr: (1x:0.00050, eta: 22:17:22, time: 98.4, Loss: 1.0300 
Epoch: [6][182/203] lr: (1x:0.00050, eta: 22:16:07, time: 98.6, Loss: 1.0251 
Epoch: [7][29/203] lr: (1x:0.00050, eta: 22:12:36, time: 97.7, Loss: 1.0208 
Epoch: [7][79/203] lr: (1x:0.00050, eta: 22:12:07, time: 98.7, Loss: 1.0171 
Epoch: [7][129/203] lr: (1x:0.00050, eta: 22:11:10, time: 98.7, Loss: 1.0127 
Epoch: [7][179/203] lr: (1x:0.00050, eta: 22:09:24, time: 98.6, Loss: 1.0085 
Epoch: [8][26/203] lr: (1x:0.00050, eta: 22:07:30, time: 98.5, Loss: 1.0053 
Epoch: [8][76/203] lr: (1x:0.00050, eta: 22:05:11, time: 98.4, Loss: 1.0018 
Epoch: [8][126/203] lr: (1x:0.00050, eta: 22:03:23, time: 97.9, Loss: 0.9988 
Epoch: [8][176/203] lr: (1x:0.00050, eta: 22:01:28, time: 98.2, Loss: 0.9965 
Epoch: [9][23/203] lr: (1x:0.00050, eta: 21:58:52, time: 97.7, Loss: 0.9935 
Epoch: [9][73/203] lr: (1x:0.00050, eta: 21:56:49, time: 98.3, Loss: 0.9914 
Epoch: [9][123/203] lr: (1x:0.00050, eta: 21:56:07, time: 98.4, Loss: 0.9893 
Epoch: [9][173/203] lr: (1x:0.00050, eta: 21:52:51, time: 97.5, Loss: 0.9872 
Epoch: [10][20/203] lr: (1x:0.00050, eta: 21:49:40, time: 97.8, Loss: 0.9847 
Epoch: [10][70/203] lr: (1x:0.00050, eta: 21:47:29, time: 98.2, Loss: 0.9825 
Epoch: [10][120/203] lr: (1x:0.00050, eta: 21:45:47, time: 98.4, Loss: 0.9807 
Epoch: [10][170/203] lr: (1x:0.00050, eta: 21:43:56, time: 98.2, Loss: 0.9790 
Epoch: [11][17/203] lr: (1x:0.00050, eta: 21:43:31, time: 97.9, Loss: 0.9763 
Epoch: [11][67/203] lr: (1x:0.00050, eta: 21:42:02, time: 98.3, Loss: 0.9741 
Epoch: [11][117/203] lr: (1x:0.00050, eta: 21:41:17, time: 98.4, Loss: 0.9732 
Epoch: [11][167/203] lr: (1x:0.00050, eta: 21:39:53, time: 98.5, Loss: 0.9710 
Epoch: [12][14/203] lr: (1x:0.00050, eta: 21:36:59, time: 98.6, Loss: 0.9687 
Epoch: [12][64/203] lr: (1x:0.00050, eta: 21:36:12, time: 98.1, Loss: 0.9667 
Epoch: [12][114/203] lr: (1x:0.00050, eta: 21:35:33, time: 98.6, Loss: 0.9648 
Epoch: [12][164/203] lr: (1x:0.00050, eta: 21:34:08, time: 98.4, Loss: 0.9636 
Epoch: [13][11/203] lr: (1x:0.00050, eta: 21:31:12, time: 97.7, Loss: 0.9619 
Epoch: [13][61/203] lr: (1x:0.00050, eta: 21:30:03, time: 98.6, Loss: 0.9605 
Epoch: [13][111/203] lr: (1x:0.00050, eta: 21:28:47, time: 98.2, Loss: 0.9595 
Epoch: [13][161/203] lr: (1x:0.00050, eta: 21:27:11, time: 98.3, Loss: 0.9580 
Epoch: [14][8/203] lr: (1x:0.00050, eta: 21:24:50, time: 97.9, Loss: 0.9564 
Epoch: [14][58/203] lr: (1x:0.00050, eta: 21:23:42, time: 98.9, Loss: 0.9556 
Epoch: [14][108/203] lr: (1x:0.00050, eta: 21:23:12, time: 99.5, Loss: 0.9554 
Epoch: [14][158/203] lr: (1x:0.00050, eta: 21:23:02, time: 99.3, Loss: 0.9543 
Epoch: [15][5/203] lr: (1x:0.00050, eta: 21:20:55, time: 98.5, Loss: 0.9515 
Epoch: [15][55/203] lr: (1x:0.00050, eta: 21:19:45, time: 98.7, Loss: 0.9497 
Epoch: [15][105/203] lr: (1x:0.00050, eta: 21:19:11, time: 98.6, Loss: 0.9490 
Epoch: [15][155/203] lr: (1x:0.00050, eta: 21:18:04, time: 99.1, Loss: 0.9477 
Epoch: [16][2/203] lr: (1x:0.00050, eta: 21:15:52, time: 97.9, Loss: 0.9465 
Epoch: [16][52/203] lr: (1x:0.00050, eta: 21:14:00, time: 98.1, Loss: 0.9461 
Epoch: [16][102/203] lr: (1x:0.00050, eta: 21:13:03, time: 98.4, Loss: 0.9434 
Epoch: [16][152/203] lr: (1x:0.00050, eta: 21:11:30, time: 98.9, Loss: 0.9419 
Epoch: [16][202/203] lr: (1x:0.00050, eta: 21:07:25, time: 97.5, Loss: 0.9402 
Epoch: [17][49/203] lr: (1x:0.00050, eta: 21:03:51, time: 97.9, Loss: 0.9386 
Epoch: [17][99/203] lr: (1x:0.00050, eta: 21:03:34, time: 99.6, Loss: 0.9397 
Epoch: [17][149/203] lr: (1x:0.00050, eta: 21:01:34, time: 98.5, Loss: 0.9389 
Epoch: [17][199/203] lr: (1x:0.00050, eta: 21:00:28, time: 99.0, Loss: 0.9372 
Epoch: [18][46/203] lr: (1x:0.00050, eta: 20:56:16, time: 97.5, Loss: 0.9361 
Epoch: [18][96/203] lr: (1x:0.00050, eta: 20:55:43, time: 98.8, Loss: 0.9356 
Epoch: [18][146/203] lr: (1x:0.00050, eta: 20:53:51, time: 98.0, Loss: 0.9339 
Epoch: [18][196/203] lr: (1x:0.00050, eta: 20:51:45, time: 98.0, Loss: 0.9340 
Epoch: [19][43/203] lr: (1x:0.00050, eta: 20:48:27, time: 97.6, Loss: 0.9326 
Epoch: [19][93/203] lr: (1x:0.00050, eta: 20:47:21, time: 97.9, Loss: 0.9312 
Epoch: [19][143/203] lr: (1x:0.00050, eta: 20:46:07, time: 98.2, Loss: 0.9314 
Epoch: [19][193/203] lr: (1x:0.00050, eta: 20:43:10, time: 98.5, Loss: 0.9296 
Epoch: [20][40/203] lr: (1x:0.00050, eta: 20:40:25, time: 97.5, Loss: 0.9283 
Epoch: [20][90/203] lr: (1x:0.00050, eta: 20:38:48, time: 99.0, Loss: 0.9281 
Epoch: [20][140/203] lr: (1x:0.00050, eta: 20:38:55, time: 99.0, Loss: 0.9277 
Epoch: [20][190/203] lr: (1x:0.00050, eta: 20:37:19, time: 98.8, Loss: 0.9260 
Epoch: [21][37/203] lr: (1x:0.00050, eta: 20:35:37, time: 98.4, Loss: 0.9244 
Epoch: [21][87/203] lr: (1x:0.00050, eta: 20:35:00, time: 98.9, Loss: 0.9237 
Epoch: [21][137/203] lr: (1x:0.00050, eta: 20:34:50, time: 98.8, Loss: 0.9235 
Epoch: [21][187/203] lr: (1x:0.00050, eta: 20:33:37, time: 98.3, Loss: 0.9239 
Epoch: [22][34/203] lr: (1x:0.00050, eta: 20:31:33, time: 97.6, Loss: 0.9212 
Epoch: [22][84/203] lr: (1x:0.00050, eta: 20:29:40, time: 98.3, Loss: 0.9213 
Epoch: [22][134/203] lr: (1x:0.00050, eta: 20:29:16, time: 98.6, Loss: 0.9207 
Epoch: [22][184/203] lr: (1x:0.00050, eta: 20:26:46, time: 98.3, Loss: 0.9191 
Epoch: [23][31/203] lr: (1x:0.00050, eta: 20:22:45, time: 97.6, Loss: 0.9191 
Epoch: [23][81/203] lr: (1x:0.00050, eta: 20:21:05, time: 98.8, Loss: 0.9178 
Epoch: [23][131/203] lr: (1x:0.00050, eta: 20:20:41, time: 99.4, Loss: 0.9183 
Epoch: [23][181/203] lr: (1x:0.00050, eta: 20:18:57, time: 98.8, Loss: 0.9164 
Epoch: [24][28/203] lr: (1x:0.00050, eta: 20:16:28, time: 98.2, Loss: 0.9159 
Epoch: [24][78/203] lr: (1x:0.00050, eta: 20:15:30, time: 98.9, Loss: 0.9145 
Epoch: [24][128/203] lr: (1x:0.00050, eta: 20:14:50, time: 98.4, Loss: 0.9159 
Epoch: [24][178/203] lr: (1x:0.00050, eta: 20:12:37, time: 97.8, Loss: 0.9135 
Epoch: [25][25/203] lr: (1x:0.00050, eta: 20:10:53, time: 98.6, Loss: 0.9132 
Epoch: [25][75/203] lr: (1x:0.00050, eta: 20:09:55, time: 98.9, Loss: 0.9129 
Epoch: [25][125/203] lr: (1x:0.00050, eta: 20:09:15, time: 98.4, Loss: 0.9109 
Epoch: [25][175/203] lr: (1x:0.00050, eta: 20:06:19, time: 97.7, Loss: 0.9107 
Epoch: [26][22/203] lr: (1x:0.00050, eta: 20:02:51, time: 98.2, Loss: 0.9097 
Epoch: [26][72/203] lr: (1x:0.00050, eta: 20:01:01, time: 98.6, Loss: 0.9099 
Epoch: [26][122/203] lr: (1x:0.00050, eta: 19:59:43, time: 98.5, Loss: 0.9092 
Epoch: [26][172/203] lr: (1x:0.00050, eta: 19:58:08, time: 98.9, Loss: 0.9086 
Epoch: [27][19/203] lr: (1x:0.00050, eta: 19:55:25, time: 97.5, Loss: 0.9079 
Epoch: [27][69/203] lr: (1x:0.00050, eta: 19:54:24, time: 98.4, Loss: 0.9082 
Epoch: [27][119/203] lr: (1x:0.00050, eta: 19:52:47, time: 98.6, Loss: 0.9072 
Epoch: [27][169/203] lr: (1x:0.00050, eta: 19:50:40, time: 98.4, Loss: 0.9068 
Epoch: [28][16/203] lr: (1x:0.00050, eta: 19:51:31, time: 97.1, Loss: 0.9063 
Epoch: [28][66/203] lr: (1x:0.00050, eta: 19:50:47, time: 98.5, Loss: 0.9058 
Epoch: [28][116/203] lr: (1x:0.00050, eta: 19:49:16, time: 98.4, Loss: 0.9058 
Epoch: [28][166/203] lr: (1x:0.00050, eta: 19:47:26, time: 98.5, Loss: 0.9055 
Epoch: [29][13/203] lr: (1x:0.00050, eta: 19:40:33, time: 98.4, Loss: 0.9043 
Epoch: [29][63/203] lr: (1x:0.00050, eta: 19:38:27, time: 98.5, Loss: 0.9030 
Epoch: [29][113/203] lr: (1x:0.00050, eta: 19:38:22, time: 98.8, Loss: 0.9017 
Epoch: [29][163/203] lr: (1x:0.00050, eta: 19:36:07, time: 97.8, Loss: 0.9017 
Epoch: [30][10/203] lr: (1x:0.00050, eta: 19:34:01, time: 98.0, Loss: 0.9013 
Epoch: [30][60/203] lr: (1x:0.00050, eta: 19:32:27, time: 98.5, Loss: 0.9004 
Epoch: [30][110/203] lr: (1x:0.00050, eta: 19:32:11, time: 98.3, Loss: 0.9005 
Epoch: [30][160/203] lr: (1x:0.00050, eta: 19:30:21, time: 98.3, Loss: 0.8989 
Epoch: [31][7/203] lr: (1x:0.00050, eta: 19:28:28, time: 97.6, Loss: 0.8990 
Epoch: [31][57/203] lr: (1x:0.00050, eta: 19:27:27, time: 99.0, Loss: 0.8977 
Epoch: [31][107/203] lr: (1x:0.00050, eta: 19:25:40, time: 98.3, Loss: 0.8974 
Epoch: [31][157/203] lr: (1x:0.00050, eta: 19:23:21, time: 97.9, Loss: 0.8980 
Epoch: [32][4/203] lr: (1x:0.00050, eta: 19:18:46, time: 97.4, Loss: 0.8971 
Epoch: [32][54/203] lr: (1x:0.00050, eta: 19:17:29, time: 98.2, Loss: 0.8953 
Epoch: [32][104/203] lr: (1x:0.00050, eta: 19:16:59, time: 99.0, Loss: 0.8953 
Epoch: [32][154/203] lr: (1x:0.00050, eta: 19:16:28, time: 99.5, Loss: 0.8952 
Epoch: [33][1/203] lr: (1x:0.00050, eta: 19:13:53, time: 97.8, Loss: 0.8938 
Epoch: [33][51/203] lr: (1x:0.00050, eta: 19:12:40, time: 98.7, Loss: 0.8943 
Epoch: [33][101/203] lr: (1x:0.00050, eta: 19:12:14, time: 98.6, Loss: 0.8925 
Epoch: [33][151/203] lr: (1x:0.00050, eta: 19:09:22, time: 97.9, Loss: 0.8926 
