Val[Epoch: [0], mean_loss: 1.2213, mIoU: 0.6133, Acc: 0.7747, Acc_class: 0.8142, fwIoU: 0.6512, RRecall: 0.9925, RNum: 5.8]
Val[Epoch: [1], mean_loss: 1.1362, mIoU: 0.6593, Acc: 0.8121, Acc_class: 0.8353, fwIoU: 0.6996, RRecall: 0.9860, RNum: 4.2]
Val[Epoch: [2], mean_loss: 1.0927, mIoU: 0.6804, Acc: 0.8281, Acc_class: 0.8450, fwIoU: 0.7210, RRecall: 0.9858, RNum: 3.8]
Val[Epoch: [3], mean_loss: 1.0614, mIoU: 0.6917, Acc: 0.8356, Acc_class: 0.8534, fwIoU: 0.7313, RRecall: 0.9889, RNum: 3.7]
Val[Epoch: [4], mean_loss: 1.0378, mIoU: 0.7060, Acc: 0.8461, Acc_class: 0.8593, fwIoU: 0.7456, RRecall: 0.9893, RNum: 3.9]
Val[Epoch: [5], mean_loss: 1.0199, mIoU: 0.7069, Acc: 0.8459, Acc_class: 0.8631, fwIoU: 0.7456, RRecall: 0.9910, RNum: 3.9]
Val[Epoch: [6], mean_loss: 1.0062, mIoU: 0.7149, Acc: 0.8512, Acc_class: 0.8677, fwIoU: 0.7531, RRecall: 0.9917, RNum: 4.1]
Val[Epoch: [7], mean_loss: 0.9956, mIoU: 0.7253, Acc: 0.8585, Acc_class: 0.8716, fwIoU: 0.7633, RRecall: 0.9913, RNum: 4.3]
Val[Epoch: [8], mean_loss: 0.9876, mIoU: 0.7368, Acc: 0.8668, Acc_class: 0.8740, fwIoU: 0.7749, RRecall: 0.9890, RNum: 4.3]
Val[Epoch: [9], mean_loss: 0.9786, mIoU: 0.7270, Acc: 0.8588, Acc_class: 0.8758, fwIoU: 0.7640, RRecall: 0.9933, RNum: 4.4]
Val[Epoch: [10], mean_loss: 0.9740, mIoU: 0.7326, Acc: 0.8629, Acc_class: 0.8773, fwIoU: 0.7697, RRecall: 0.9918, RNum: 4.3]
Val[Epoch: [11], mean_loss: 0.9664, mIoU: 0.7426, Acc: 0.8699, Acc_class: 0.8799, fwIoU: 0.7797, RRecall: 0.9905, RNum: 4.4]
Val[Epoch: [12], mean_loss: 0.9604, mIoU: 0.7415, Acc: 0.8687, Acc_class: 0.8815, fwIoU: 0.7780, RRecall: 0.9918, RNum: 4.4]
Val[Epoch: [13], mean_loss: 0.9557, mIoU: 0.7458, Acc: 0.8717, Acc_class: 0.8829, fwIoU: 0.7823, RRecall: 0.9915, RNum: 4.4]
Val[Epoch: [14], mean_loss: 0.9505, mIoU: 0.7493, Acc: 0.8740, Acc_class: 0.8844, fwIoU: 0.7856, RRecall: 0.9910, RNum: 4.4]
Val[Epoch: [15], mean_loss: 0.9504, mIoU: 0.7480, Acc: 0.8728, Acc_class: 0.8849, fwIoU: 0.7841, RRecall: 0.9921, RNum: 4.3]
Val[Epoch: [16], mean_loss: 0.9447, mIoU: 0.7525, Acc: 0.8759, Acc_class: 0.8865, fwIoU: 0.7885, RRecall: 0.9920, RNum: 4.4]
Val[Epoch: [17], mean_loss: 0.9383, mIoU: 0.7497, Acc: 0.8736, Acc_class: 0.8875, fwIoU: 0.7853, RRecall: 0.9928, RNum: 4.4]
Val[Epoch: [18], mean_loss: 0.9391, mIoU: 0.7527, Acc: 0.8757, Acc_class: 0.8879, fwIoU: 0.7883, RRecall: 0.9926, RNum: 4.3]
Val[Epoch: [19], mean_loss: 0.9362, mIoU: 0.7682, Acc: 0.8866, Acc_class: 0.8893, fwIoU: 0.8039, RRecall: 0.9887, RNum: 4.4]
Val[Epoch: [20], mean_loss: 0.9340, mIoU: 0.7482, Acc: 0.8724, Acc_class: 0.8878, fwIoU: 0.7837, RRecall: 0.9933, RNum: 4.3]
