dataset: visdrone
root_dir: /home/twsf/data/Visdrone/density_mask
test_dir: 
input_size: (640, 480)
mean: [0.382, 0.383, 0.367]
std: [0.164, 0.156, 0.164]
num_classes: 5
resume: False
pre: /home/twsf/work/CRGNet/run/visdrone/20200227_235050_train/model_best.pth.tar
backbone: mobilenetv2
output_stride: 16
output_channels: 5
sync_bn: False
batch_size: 32
epochs: 200
freeze_bn: False
loss: {'type': 'CrossEntropyLoss', 'ignore_index': -1, 'weight': None}
use_balanced_weights: True
lr_scheduler: poly
lr: 0.0005
momentum: 0.9
decay: 0.0005
steps: [0.8, 0.9]
gamma: 0.3
workers: 1
region_thd: 0.5
print_freq: 50
plot_every: 100
saver_freq: 1
seed: 1
Epoch: [0][50/203] lr: (1x:0.00050, eta: 28:39:40, time: 100.2, Loss: 1.6477 
Epoch: [0][100/203] lr: (1x:0.00050, eta: 28:30:46, time: 99.1, Loss: 1.5247 
Epoch: [0][150/203] lr: (1x:0.00050, eta: 28:27:44, time: 99.3, Loss: 1.4497 
Epoch: [0][200/203] lr: (1x:0.00050, eta: 28:25:32, time: 99.4, Loss: 1.3999 
Epoch: [1][47/203] lr: (1x:0.00050, eta: 23:10:30, time: 98.4, Loss: 1.3607 
Epoch: [1][97/203] lr: (1x:0.00050, eta: 23:05:42, time: 97.9, Loss: 1.3315 
Epoch: [1][147/203] lr: (1x:0.00050, eta: 23:03:08, time: 98.6, Loss: 1.3092 
Epoch: [1][197/203] lr: (1x:0.00050, eta: 23:00:27, time: 98.4, Loss: 1.2893 
Epoch: [2][44/203] lr: (1x:0.00050, eta: 22:53:20, time: 97.8, Loss: 1.2715 
Epoch: [2][94/203] lr: (1x:0.00050, eta: 22:50:38, time: 98.0, Loss: 1.2560 
Epoch: [2][144/203] lr: (1x:0.00050, eta: 22:47:11, time: 98.8, Loss: 1.2025 
Epoch: [2][194/203] lr: (1x:0.00050, eta: 22:45:00, time: 98.7, Loss: 1.1729 
Epoch: [3][41/203] lr: (1x:0.00050, eta: 22:40:32, time: 97.7, Loss: 1.1533 
Epoch: [3][91/203] lr: (1x:0.00050, eta: 22:37:45, time: 98.5, Loss: 1.1367 
Epoch: [3][141/203] lr: (1x:0.00050, eta: 22:35:44, time: 98.1, Loss: 1.1235 
Epoch: [3][191/203] lr: (1x:0.00050, eta: 22:34:25, time: 98.1, Loss: 1.1116 
Epoch: [4][38/203] lr: (1x:0.00050, eta: 22:32:20, time: 98.3, Loss: 1.1003 
Epoch: [4][88/203] lr: (1x:0.00050, eta: 22:30:52, time: 98.5, Loss: 1.0911 
Epoch: [4][138/203] lr: (1x:0.00050, eta: 22:30:38, time: 98.9, Loss: 1.0834 
