dataset: visdrone
root_dir: /home/twsf/data/Visdrone/density_mask
test_dir: 
input_size: (640, 480)
mean: [0.382, 0.383, 0.367]
std: [0.164, 0.156, 0.164]
num_classes: 5
resume: False
pre: /home/twsf/work/CRGNet/run/visdrone/20200227_235050_train/model_best.pth.tar
backbone: mobilenetv2
output_stride: 16
output_channels: 5
sync_bn: False
batch_size: 32
epochs: 200
freeze_bn: False
loss: {'type': 'CrossEntropyLoss', 'ignore_index': -1, 'weight': None}
use_balanced_weights: False
lr_scheduler: poly
lr: 0.0005
momentum: 0.9
decay: 0.0005
steps: [0.8, 0.9]
gamma: 0.3
workers: 1
region_thd: 0.5
print_freq: 50
plot_every: 100
saver_freq: 1
seed: 1
Epoch: [13][111/203] lr: (1x:0.00050, eta: 21:29:27, time: 97.9, Loss: 0.4572 
Epoch: [13][161/203] lr: (1x:0.00050, eta: 21:27:54, time: 98.7, Loss: 0.4569 
Epoch: [14][8/203] lr: (1x:0.00050, eta: 21:25:41, time: 98.4, Loss: 0.4564 
Epoch: [14][58/203] lr: (1x:0.00050, eta: 21:24:09, time: 98.3, Loss: 0.4548 
Epoch: [14][108/203] lr: (1x:0.00050, eta: 21:23:20, time: 98.7, Loss: 0.4542 
Epoch: [14][158/203] lr: (1x:0.00050, eta: 21:21:14, time: 98.3, Loss: 0.4524 
Epoch: [15][5/203] lr: (1x:0.00050, eta: 21:19:55, time: 97.7, Loss: 0.4524 
Epoch: [15][55/203] lr: (1x:0.00050, eta: 21:17:34, time: 98.4, Loss: 0.4530 
Epoch: [15][105/203] lr: (1x:0.00050, eta: 21:16:46, time: 98.2, Loss: 0.4519 
Epoch: [15][155/203] lr: (1x:0.00050, eta: 21:15:33, time: 98.7, Loss: 0.4514 
Epoch: [16][2/203] lr: (1x:0.00050, eta: 21:12:02, time: 97.8, Loss: 0.4507 
Epoch: [16][52/203] lr: (1x:0.00050, eta: 21:10:24, time: 98.7, Loss: 0.4498 
Epoch: [16][102/203] lr: (1x:0.00050, eta: 21:08:41, time: 98.3, Loss: 0.4487 
Epoch: [16][152/203] lr: (1x:0.00050, eta: 21:07:02, time: 98.3, Loss: 0.4482 
Epoch: [16][202/203] lr: (1x:0.00050, eta: 21:05:01, time: 98.4, Loss: 0.4474 
Epoch: [17][49/203] lr: (1x:0.00050, eta: 21:02:44, time: 98.4, Loss: 0.4470 
Epoch: [17][99/203] lr: (1x:0.00050, eta: 21:01:58, time: 98.4, Loss: 0.4455 
Epoch: [17][149/203] lr: (1x:0.00050, eta: 21:00:08, time: 98.2, Loss: 0.4444 
Epoch: [17][199/203] lr: (1x:0.00050, eta: 20:59:02, time: 98.7, Loss: 0.4439 
Epoch: [18][46/203] lr: (1x:0.00050, eta: 20:56:05, time: 97.8, Loss: 0.4436 
Epoch: [18][96/203] lr: (1x:0.00050, eta: 20:55:09, time: 98.4, Loss: 0.4431 
Epoch: [18][146/203] lr: (1x:0.00050, eta: 20:52:57, time: 98.3, Loss: 0.4420 
Epoch: [18][196/203] lr: (1x:0.00050, eta: 20:51:27, time: 98.4, Loss: 0.4422 
Epoch: [19][43/203] lr: (1x:0.00050, eta: 20:49:05, time: 97.8, Loss: 0.4418 
Epoch: [19][93/203] lr: (1x:0.00050, eta: 20:48:17, time: 99.1, Loss: 0.4414 
