Val[Epoch: [35], mean_loss: 0.4575, mIoU: 0.7703, Acc: 0.8979, Acc_class: 0.8498, fwIoU: 0.8151, RRecall: 0.9392, RNum: 5.1]
Val[Epoch: [36], mean_loss: 0.4572, mIoU: 0.7644, Acc: 0.8957, Acc_class: 0.8434, fwIoU: 0.8108, RRecall: 0.9273, RNum: 5.1]
Val[Epoch: [37], mean_loss: 0.4556, mIoU: 0.7748, Acc: 0.8997, Acc_class: 0.8547, fwIoU: 0.8183, RRecall: 0.9443, RNum: 5.1]
Val[Epoch: [38], mean_loss: 0.4545, mIoU: 0.7717, Acc: 0.8986, Acc_class: 0.8509, fwIoU: 0.8162, RRecall: 0.9389, RNum: 5.1]
Val[Epoch: [39], mean_loss: 0.4557, mIoU: 0.7646, Acc: 0.8959, Acc_class: 0.8431, fwIoU: 0.8111, RRecall: 0.9261, RNum: 5.1]
Val[Epoch: [40], mean_loss: 0.4534, mIoU: 0.7708, Acc: 0.8983, Acc_class: 0.8499, fwIoU: 0.8155, RRecall: 0.9383, RNum: 5.1]
Val[Epoch: [41], mean_loss: 0.4538, mIoU: 0.7746, Acc: 0.8995, Acc_class: 0.8548, fwIoU: 0.8181, RRecall: 0.9457, RNum: 5.0]
Val[Epoch: [42], mean_loss: 0.4531, mIoU: 0.7661, Acc: 0.8966, Acc_class: 0.8443, fwIoU: 0.8123, RRecall: 0.9299, RNum: 5.2]
Val[Epoch: [43], mean_loss: 0.4503, mIoU: 0.7759, Acc: 0.9003, Acc_class: 0.8553, fwIoU: 0.8193, RRecall: 0.9445, RNum: 5.0]
Val[Epoch: [44], mean_loss: 0.4497, mIoU: 0.7768, Acc: 0.9006, Acc_class: 0.8566, fwIoU: 0.8198, RRecall: 0.9472, RNum: 5.1]
Val[Epoch: [45], mean_loss: 0.4500, mIoU: 0.7649, Acc: 0.8964, Acc_class: 0.8422, fwIoU: 0.8116, RRecall: 0.9242, RNum: 5.1]
Val[Epoch: [46], mean_loss: 0.4499, mIoU: 0.7743, Acc: 0.8997, Acc_class: 0.8535, fwIoU: 0.8181, RRecall: 0.9415, RNum: 5.0]
Val[Epoch: [47], mean_loss: 0.4495, mIoU: 0.7726, Acc: 0.8989, Acc_class: 0.8522, fwIoU: 0.8168, RRecall: 0.9391, RNum: 5.1]
Val[Epoch: [48], mean_loss: 0.4468, mIoU: 0.7776, Acc: 0.9012, Acc_class: 0.8562, fwIoU: 0.8207, RRecall: 0.9439, RNum: 5.1]
Val[Epoch: [49], mean_loss: 0.4483, mIoU: 0.7715, Acc: 0.8989, Acc_class: 0.8493, fwIoU: 0.8164, RRecall: 0.9353, RNum: 5.1]
Val[Epoch: [50], mean_loss: 0.4464, mIoU: 0.7761, Acc: 0.9007, Acc_class: 0.8543, fwIoU: 0.8196, RRecall: 0.9427, RNum: 5.1]
Val[Epoch: [51], mean_loss: 0.4458, mIoU: 0.7759, Acc: 0.9007, Acc_class: 0.8538, fwIoU: 0.8196, RRecall: 0.9424, RNum: 5.1]
Val[Epoch: [52], mean_loss: 0.4459, mIoU: 0.7803, Acc: 0.9021, Acc_class: 0.8597, fwIoU: 0.8225, RRecall: 0.9503, RNum: 5.2]
Val[Epoch: [53], mean_loss: 0.4454, mIoU: 0.7741, Acc: 0.8999, Acc_class: 0.8523, fwIoU: 0.8182, RRecall: 0.9386, RNum: 5.1]
Val[Epoch: [54], mean_loss: 0.4433, mIoU: 0.7781, Acc: 0.9016, Acc_class: 0.8558, fwIoU: 0.8212, RRecall: 0.9457, RNum: 5.2]
Val[Epoch: [55], mean_loss: 0.4435, mIoU: 0.7779, Acc: 0.9015, Acc_class: 0.8557, fwIoU: 0.8211, RRecall: 0.9447, RNum: 5.1]
Val[Epoch: [56], mean_loss: 0.4430, mIoU: 0.7771, Acc: 0.9011, Acc_class: 0.8551, fwIoU: 0.8204, RRecall: 0.9417, RNum: 5.1]
Val[Epoch: [57], mean_loss: 0.4430, mIoU: 0.7727, Acc: 0.8995, Acc_class: 0.8501, fwIoU: 0.8174, RRecall: 0.9377, RNum: 5.2]
Val[Epoch: [58], mean_loss: 0.4427, mIoU: 0.7771, Acc: 0.9010, Acc_class: 0.8556, fwIoU: 0.8204, RRecall: 0.9443, RNum: 5.2]
Val[Epoch: [59], mean_loss: 0.4426, mIoU: 0.7798, Acc: 0.9022, Acc_class: 0.8583, fwIoU: 0.8224, RRecall: 0.9487, RNum: 5.1]
Val[Epoch: [60], mean_loss: 0.4416, mIoU: 0.7747, Acc: 0.9003, Acc_class: 0.8523, fwIoU: 0.8187, RRecall: 0.9387, RNum: 5.1]
Val[Epoch: [61], mean_loss: 0.4409, mIoU: 0.7773, Acc: 0.9016, Acc_class: 0.8539, fwIoU: 0.8209, RRecall: 0.9411, RNum: 5.2]
Val[Epoch: [62], mean_loss: 0.4396, mIoU: 0.7819, Acc: 0.9031, Acc_class: 0.8600, fwIoU: 0.8240, RRecall: 0.9490, RNum: 5.2]
