Val[Epoch: [0], mean_loss: 1.1386, mIoU: 0.6645, Acc: 0.8318, Acc_class: 0.7924, fwIoU: 0.7205, RRecall: 0.9789, RNum: 17.9]
Val[Epoch: [1], mean_loss: 1.0309, mIoU: 0.6995, Acc: 0.8510, Acc_class: 0.8242, fwIoU: 0.7488, RRecall: 0.9834, RNum: 12.6]
Val[Epoch: [2], mean_loss: 0.9876, mIoU: 0.7116, Acc: 0.8574, Acc_class: 0.8357, fwIoU: 0.7584, RRecall: 0.9850, RNum: 10.7]
Val[Epoch: [3], mean_loss: 0.9566, mIoU: 0.7233, Acc: 0.8656, Acc_class: 0.8398, fwIoU: 0.7697, RRecall: 0.9804, RNum: 9.4]
Val[Epoch: [4], mean_loss: 0.9371, mIoU: 0.7279, Acc: 0.8669, Acc_class: 0.8476, fwIoU: 0.7724, RRecall: 0.9832, RNum: 8.8]
Val[Epoch: [5], mean_loss: 0.9227, mIoU: 0.7330, Acc: 0.8702, Acc_class: 0.8499, fwIoU: 0.7772, RRecall: 0.9830, RNum: 8.2]
Val[Epoch: [6], mean_loss: 0.9106, mIoU: 0.7388, Acc: 0.8748, Acc_class: 0.8500, fwIoU: 0.7833, RRecall: 0.9792, RNum: 7.7]
Val[Epoch: [7], mean_loss: 0.8998, mIoU: 0.7400, Acc: 0.8745, Acc_class: 0.8540, fwIoU: 0.7835, RRecall: 0.9822, RNum: 7.5]
Val[Epoch: [8], mean_loss: 0.8914, mIoU: 0.7437, Acc: 0.8763, Acc_class: 0.8576, fwIoU: 0.7863, RRecall: 0.9832, RNum: 7.2]
Val[Epoch: [9], mean_loss: 0.8843, mIoU: 0.7451, Acc: 0.8765, Acc_class: 0.8609, fwIoU: 0.7869, RRecall: 0.9845, RNum: 7.1]
Val[Epoch: [10], mean_loss: 0.8758, mIoU: 0.7502, Acc: 0.8807, Acc_class: 0.8594, fwIoU: 0.7926, RRecall: 0.9810, RNum: 6.7]
Val[Epoch: [11], mean_loss: 0.8702, mIoU: 0.7515, Acc: 0.8809, Acc_class: 0.8625, fwIoU: 0.7932, RRecall: 0.9825, RNum: 6.6]
Val[Epoch: [12], mean_loss: 0.8640, mIoU: 0.7528, Acc: 0.8811, Acc_class: 0.8651, fwIoU: 0.7938, RRecall: 0.9840, RNum: 6.6]
Val[Epoch: [13], mean_loss: 0.8609, mIoU: 0.7549, Acc: 0.8832, Acc_class: 0.8633, fwIoU: 0.7964, RRecall: 0.9814, RNum: 6.5]
Val[Epoch: [14], mean_loss: 0.8548, mIoU: 0.7557, Acc: 0.8830, Acc_class: 0.8659, fwIoU: 0.7966, RRecall: 0.9825, RNum: 6.3]
Val[Epoch: [15], mean_loss: 0.8523, mIoU: 0.7572, Acc: 0.8842, Acc_class: 0.8657, fwIoU: 0.7981, RRecall: 0.9818, RNum: 6.3]
Val[Epoch: [16], mean_loss: 0.8482, mIoU: 0.7575, Acc: 0.8833, Acc_class: 0.8700, fwIoU: 0.7974, RRecall: 0.9855, RNum: 6.3]
Val[Epoch: [17], mean_loss: 0.8441, mIoU: 0.7608, Acc: 0.8858, Acc_class: 0.8699, fwIoU: 0.8008, RRecall: 0.9846, RNum: 6.2]
Val[Epoch: [18], mean_loss: 0.8405, mIoU: 0.7616, Acc: 0.8863, Acc_class: 0.8700, fwIoU: 0.8016, RRecall: 0.9837, RNum: 6.2]
Val[Epoch: [19], mean_loss: 0.8384, mIoU: 0.7618, Acc: 0.8867, Acc_class: 0.8692, fwIoU: 0.8020, RRecall: 0.9824, RNum: 6.2]
Val[Epoch: [20], mean_loss: 0.8342, mIoU: 0.7641, Acc: 0.8876, Acc_class: 0.8720, fwIoU: 0.8037, RRecall: 0.9842, RNum: 6.2]
Val[Epoch: [21], mean_loss: 0.8311, mIoU: 0.7656, Acc: 0.8889, Acc_class: 0.8709, fwIoU: 0.8054, RRecall: 0.9826, RNum: 6.1]
Val[Epoch: [22], mean_loss: 0.8303, mIoU: 0.7652, Acc: 0.8881, Acc_class: 0.8734, fwIoU: 0.8044, RRecall: 0.9847, RNum: 6.0]
Val[Epoch: [23], mean_loss: 0.8286, mIoU: 0.7666, Acc: 0.8897, Acc_class: 0.8709, fwIoU: 0.8064, RRecall: 0.9821, RNum: 6.0]
Val[Epoch: [24], mean_loss: 0.8238, mIoU: 0.7680, Acc: 0.8901, Acc_class: 0.8734, fwIoU: 0.8073, RRecall: 0.9832, RNum: 6.0]
Val[Epoch: [25], mean_loss: 0.8216, mIoU: 0.7671, Acc: 0.8887, Acc_class: 0.8767, fwIoU: 0.8057, RRecall: 0.9857, RNum: 6.0]
Val[Epoch: [26], mean_loss: 0.8187, mIoU: 0.7694, Acc: 0.8904, Acc_class: 0.8761, fwIoU: 0.8081, RRecall: 0.9843, RNum: 5.9]
Val[Epoch: [27], mean_loss: 0.8209, mIoU: 0.7694, Acc: 0.8901, Acc_class: 0.8774, fwIoU: 0.8078, RRecall: 0.9861, RNum: 5.9]
Val[Epoch: [28], mean_loss: 0.8168, mIoU: 0.7710, Acc: 0.8915, Acc_class: 0.8762, fwIoU: 0.8097, RRecall: 0.9844, RNum: 5.9]
Val[Epoch: [29], mean_loss: 0.8139, mIoU: 0.7709, Acc: 0.8911, Acc_class: 0.8778, fwIoU: 0.8093, RRecall: 0.9850, RNum: 5.9]
Val[Epoch: [30], mean_loss: 0.8135, mIoU: 0.7705, Acc: 0.8904, Acc_class: 0.8795, fwIoU: 0.8084, RRecall: 0.9864, RNum: 5.8]
Val[Epoch: [31], mean_loss: 0.8108, mIoU: 0.7731, Acc: 0.8924, Acc_class: 0.8790, fwIoU: 0.8112, RRecall: 0.9849, RNum: 5.8]
Val[Epoch: [32], mean_loss: 0.8092, mIoU: 0.7725, Acc: 0.8920, Acc_class: 0.8786, fwIoU: 0.8106, RRecall: 0.9856, RNum: 5.9]
Val[Epoch: [33], mean_loss: 0.8068, mIoU: 0.7755, Acc: 0.8944, Acc_class: 0.8775, fwIoU: 0.8139, RRecall: 0.9835, RNum: 5.8]
Val[Epoch: [34], mean_loss: 0.8061, mIoU: 0.7748, Acc: 0.8937, Acc_class: 0.8785, fwIoU: 0.8130, RRecall: 0.9848, RNum: 5.8]
Val[Epoch: [35], mean_loss: 0.8081, mIoU: 0.7755, Acc: 0.8938, Acc_class: 0.8798, fwIoU: 0.8134, RRecall: 0.9858, RNum: 5.7]
Val[Epoch: [36], mean_loss: 0.8061, mIoU: 0.7737, Acc: 0.8921, Acc_class: 0.8820, fwIoU: 0.8111, RRecall: 0.9870, RNum: 5.9]
Val[Epoch: [37], mean_loss: 0.8029, mIoU: 0.7769, Acc: 0.8950, Acc_class: 0.8791, fwIoU: 0.8150, RRecall: 0.9845, RNum: 5.7]
Val[Epoch: [38], mean_loss: 0.8015, mIoU: 0.7746, Acc: 0.8927, Acc_class: 0.8822, fwIoU: 0.8120, RRecall: 0.9868, RNum: 5.8]
Val[Epoch: [39], mean_loss: 0.7988, mIoU: 0.7778, Acc: 0.8950, Acc_class: 0.8816, fwIoU: 0.8153, RRecall: 0.9857, RNum: 5.8]
Val[Epoch: [40], mean_loss: 0.7990, mIoU: 0.7750, Acc: 0.8926, Acc_class: 0.8836, fwIoU: 0.8120, RRecall: 0.9874, RNum: 5.9]
Val[Epoch: [41], mean_loss: 0.7972, mIoU: 0.7803, Acc: 0.8976, Acc_class: 0.8780, fwIoU: 0.8185, RRecall: 0.9823, RNum: 5.7]
Val[Epoch: [42], mean_loss: 0.7939, mIoU: 0.7783, Acc: 0.8950, Acc_class: 0.8835, fwIoU: 0.8154, RRecall: 0.9868, RNum: 5.7]
Val[Epoch: [43], mean_loss: 0.7917, mIoU: 0.7792, Acc: 0.8954, Acc_class: 0.8844, fwIoU: 0.8161, RRecall: 0.9865, RNum: 5.7]
Val[Epoch: [44], mean_loss: 0.7913, mIoU: 0.7811, Acc: 0.8971, Acc_class: 0.8824, fwIoU: 0.8183, RRecall: 0.9846, RNum: 5.6]
Val[Epoch: [45], mean_loss: 0.7911, mIoU: 0.7813, Acc: 0.8978, Acc_class: 0.8801, fwIoU: 0.8191, RRecall: 0.9833, RNum: 5.6]
Val[Epoch: [46], mean_loss: 0.7888, mIoU: 0.7818, Acc: 0.8978, Acc_class: 0.8816, fwIoU: 0.8193, RRecall: 0.9839, RNum: 5.6]
Val[Epoch: [47], mean_loss: 0.7892, mIoU: 0.7806, Acc: 0.8965, Acc_class: 0.8838, fwIoU: 0.8176, RRecall: 0.9858, RNum: 5.7]
Val[Epoch: [48], mean_loss: 0.7913, mIoU: 0.7809, Acc: 0.8970, Acc_class: 0.8825, fwIoU: 0.8182, RRecall: 0.9855, RNum: 5.7]
Val[Epoch: [49], mean_loss: 0.7869, mIoU: 0.7820, Acc: 0.8975, Acc_class: 0.8834, fwIoU: 0.8190, RRecall: 0.9852, RNum: 5.7]
Val[Epoch: [50], mean_loss: 0.7903, mIoU: 0.7825, Acc: 0.8988, Acc_class: 0.8790, fwIoU: 0.8204, RRecall: 0.9812, RNum: 5.6]
Val[Epoch: [51], mean_loss: 0.7859, mIoU: 0.7814, Acc: 0.8964, Acc_class: 0.8866, fwIoU: 0.8178, RRecall: 0.9873, RNum: 5.6]
Val[Epoch: [52], mean_loss: 0.7860, mIoU: 0.7828, Acc: 0.8976, Acc_class: 0.8854, fwIoU: 0.8194, RRecall: 0.9860, RNum: 5.5]
Val[Epoch: [53], mean_loss: 0.7854, mIoU: 0.7833, Acc: 0.8983, Acc_class: 0.8840, fwIoU: 0.8202, RRecall: 0.9844, RNum: 5.5]
Val[Epoch: [54], mean_loss: 0.7857, mIoU: 0.7844, Acc: 0.8997, Acc_class: 0.8810, fwIoU: 0.8220, RRecall: 0.9823, RNum: 5.7]
Val[Epoch: [55], mean_loss: 0.7819, mIoU: 0.7839, Acc: 0.8984, Acc_class: 0.8851, fwIoU: 0.8206, RRecall: 0.9849, RNum: 5.6]
Val[Epoch: [56], mean_loss: 0.7830, mIoU: 0.7848, Acc: 0.8993, Acc_class: 0.8842, fwIoU: 0.8217, RRecall: 0.9842, RNum: 5.5]
Val[Epoch: [57], mean_loss: 0.7828, mIoU: 0.7851, Acc: 0.9000, Acc_class: 0.8819, fwIoU: 0.8224, RRecall: 0.9820, RNum: 5.6]
Val[Epoch: [58], mean_loss: 0.7804, mIoU: 0.7850, Acc: 0.8993, Acc_class: 0.8850, fwIoU: 0.8217, RRecall: 0.9844, RNum: 5.5]
