dataset: visdrone
root_dir: /home/twsf/data/Visdrone/density_mask
test_dir: 
input_size: (640, 480)
norm_cfg: {'mean': [0.382, 0.383, 0.367], 'std': [0.164, 0.156, 0.164]}
num_classes: 5
resume: False
pre: /home/twsf/work/CRGNet/run/visdrone/20200227_235050_train/model_best.pth.tar
backbone: mobilenetv2
output_stride: 16
output_channels: 5
sync_bn: False
batch_size: 32
epochs: 200
freeze_bn: False
loss: {'type': 'CrossEntropyLoss', 'ignore_index': -1, 'weight': [1, 2, 4, 8, 16]}
use_balanced_weights: False
lr_scheduler: poly
lr: 0.0005
momentum: 0.9
decay: 0.0005
steps: [0.8, 0.9]
gamma: 0.3
workers: 1
region_thd: 0.5
print_freq: 50
plot_every: 100
saver_freq: 1
seed: 1
Epoch: [13][111/203] lr: (1x:0.00050, eta: 21:34:06, time: 99.1, Loss: 0.8740 
Epoch: [13][161/203] lr: (1x:0.00050, eta: 21:31:46, time: 98.4, Loss: 0.8717 
Epoch: [14][8/203] lr: (1x:0.00050, eta: 21:28:28, time: 97.1, Loss: 0.8709 
Epoch: [14][58/203] lr: (1x:0.00050, eta: 21:26:35, time: 98.4, Loss: 0.8690 
Epoch: [14][108/203] lr: (1x:0.00050, eta: 21:26:22, time: 98.8, Loss: 0.8677 
Epoch: [14][158/203] lr: (1x:0.00050, eta: 21:23:57, time: 98.7, Loss: 0.8660 
Epoch: [15][5/203] lr: (1x:0.00050, eta: 21:20:00, time: 97.6, Loss: 0.8646 
Epoch: [15][55/203] lr: (1x:0.00050, eta: 21:18:06, time: 99.1, Loss: 0.8644 
Epoch: [15][105/203] lr: (1x:0.00050, eta: 21:16:11, time: 98.0, Loss: 0.8628 
Epoch: [15][155/203] lr: (1x:0.00050, eta: 21:14:34, time: 98.4, Loss: 0.8612 
Epoch: [16][2/203] lr: (1x:0.00050, eta: 21:11:06, time: 98.1, Loss: 0.8593 
